Sum of Rainfall - (MM),Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Grand Total
January,40.4258,2.31336,22.6658,61.2916,53.5866,7.44133,18.81,40.6442,22.0417,48.6834,62.1624,49.9539,13.1557,23.0338,4.79381,20.4452,15.2669,3.67758,38.0603,35.7668,9.92568,18.7877,35.9669,27.7769,14.2756,24.4413,13.352,13.1354,25.9579,32.3071,31.205,26.7392,25.4788,19.2027,50.2232,17.1451,20.7952,52.7538,21.8429,43.1928,18.3481,55.169,58.2901,48.1277,38.8791,14.8902,31.4211,11.4407,14.5772,60.4773,17.9641,21.8835,25.7333,48.7824,28.8648,35.4311,62.0862,25.5363,38.2175,12.8881,33.4807,6.7844,0.99773,37.9169,26.2428,1.15251,4.27492,26.3102,14.0873,30.5653,7.24127,34.7957,28.3193,20.4081,26.8503,26.6401,44.242,19.7925,29.7768,19.0035,30.6463,26.7045,19.3975,7.77251,16.1033,5.4159,5.30938,19.4444,16.5354,37.5664,23.5797,53.9661,29.6088,19.5592,9.26441,27.9485,23.2765,32.6726,32.9247,19.311,3.98006,8.26817,12.9862,41.6249,37.2572,28.5383,3.0348,43.5298,34.3593,9.37983,11.1674,21.7436,12.3896,11.4887,16.3651,16.1749,2985.91045
February,12.3022,3.17559,10.2447,10.9565,37.0232,78.1301,38.2396,17.759,34.5044,10.0486,13.6268,17.0454,31.3535,44.1405,35.6388,22.4321,3.4687,4.3403,18.1172,22.6303,4.74141,39.9547,40.3208,52.4768,15.1582,12.882,30.2914,34.7922,18.6647,16.2961,52.4215,10.7904,21.9499,14.1642,55.8465,57.0899,57.7165,23.2189,76.0329,30.6731,12.1747,53.9409,5.57775,64.9179,11.7038,26.0587,30.8748,42.7869,20.9185,22.0462,26.1026,28.4677,24.2772,65.4074,8.44112,19.7688,14.6322,9.44109,36.426,15.5501,30.3129,18.7275,16.2037,20.617,24.945,45.5543,30.2195,29.1857,24.9438,27.1291,21.513,19.8263,22.0498,34.12,28.4211,48.1633,3.8353,16.6293,43.3052,29.9826,32.1889,43.8462,27.558,17.4694,4.97319,37.8958,29.1888,17.2945,12.2605,57.1569,42.6492,29.1195,15.8378,29.1929,30.1864,40.7236,5.92436,39.6264,36.1811,14.2357,7.90859,24.8489,62.8046,15.2825,58.6492,15.7051,49.8075,13.6756,33.2747,31.8993,58.0763,19.6736,46.5909,22.7004,30.9235,8.36436,3269.55256
March,25.5119,13.3201,40.695,68.4706,41.1089,37.7996,29.2855,13.8815,17.239,12.8771,63.2829,7.75363,27.0575,21.0917,26.8453,9.38123,34.8237,52.7667,27.477,36.08,14.8642,15.9975,23.3626,18.5206,9.02434,63.5215,20.1701,27.0924,8.94673,16.7301,12.8384,46.6057,39.5348,31.5287,23.9489,38.0715,32.6619,20.393,64.9968,26.4761,24.0993,19.6547,26.7344,38.2779,24.6168,13.9942,19.6091,48.0123,36.7155,31.9527,44.9662,24.2076,20.904,22.7319,47.2041,58.4752,36.6081,16.1792,25.3104,48.0119,15.4388,26.4647,41.6322,20.0103,22.0791,40.4243,62.6848,21.337,20.4253,33.5164,10.804,38.6696,35.0366,12.4535,31.389,51.7926,5.09658,46.6385,47.1193,43.5235,66.5952,69.4212,40.6978,26.3116,12.0366,42.6173,54.0587,53.0401,41.2204,35.7753,42.4584,38.7504,32.1792,23.597,23.1022,44.5704,38.9486,37.2368,23.3168,8.70368,16.1858,23.0497,31.7944,5.57348,40.9373,27.5402,63.3527,2.83751,28.2929,20.63,30.0545,22.278,53.8636,55.8119,70.0159,57.6948,3721.38668
April,14.2942,16.6064,12.3373,10.8674,14.3762,11.4353,36.3981,60.2271,49.3441,28.8651,13.1245,25.0325,18.966,44.5625,53.0118,38.9866,16.7887,31.7855,20.9388,22.3086,16.3766,8.44737,17.9709,41.0689,7.80475,31.4509,14.6287,14.9065,12.8088,55.3931,24.4085,8.74017,33.2832,31.4163,58.9393,18.2543,47.3676,24.7071,33.474,19.2397,32.6426,19.7194,34.1384,31.2336,34.16,5.6812,3.89161,25.1017,11.7593,26.4562,24.8592,14.6128,20.1409,18.5023,8.48304,34.3327,51.9199,14.091,24.9713,31.719,39.9794,23.2086,34.1661,23.3933,59.2074,33.1559,24.4783,17.1485,31.7132,15.5043,16.0094,22.1973,18.082,15.064,22.3481,22.9631,27.2329,16.4415,28.4061,9.2615,27.3013,26.6146,56.5685,22.372,35.0544,23.7822,21.1257,8.47749,9.66336,17.4093,43.043,40.764,19.6552,26.8942,44.2381,24.3362,39.8522,31.8033,18.1675,3.96081,21.0362,20.2869,23.1098,25.9202,21.9531,13.3447,10.1817,37.4197,33.3443,16.3773,28.063,34.6903,33.5154,36.274,34.0755,20.2518,2980.2477
May,38.3046,17.0574,35.182,9.80757,12.9388,19.8325,4.75605,15.155,5.69387,8.65424,11.5385,21.5984,12.7484,11.9432,4.94112,27.0144,20.6214,3.40381,10.555,16.5041,9.02189,18.9858,23.7718,40.4323,32.2283,20.4858,8.23821,3.78452,10.8868,11.4558,26.5103,10.6746,16.7729,17.8854,10.5603,27.1927,7.45861,3.56816,5.93996,21.4832,9.43239,38.4209,23.3824,8.14759,12.045,5.64115,17.1172,9.07401,8.48725,13.0833,25.6118,7.56766,15.874,10.2821,27.4975,1.72454,25.8923,12.7986,32.536,13.5125,13.8821,15.4038,35.0543,10.9025,26.2274,13.2614,23.5003,20.1009,19.819,8.93951,11.8274,21.5096,20.5587,15.8986,18.8292,8.51641,15.1775,8.48169,20.4325,12.7197,17.4683,28.7386,26.2521,13.4199,13.6178,16.0415,30.0705,3.33549,14.575,12.065,26.5375,23.8701,15.3862,19.8453,11.1759,33.005,18.4543,21.8943,9.97722,7.20656,9.71545,10.8048,20.0575,13.1468,27.8063,9.25805,10.8274,16.6802,11.2742,23.014,10.2389,13.0843,7.84502,20.0702,19.6929,18.1856,1899.3966
June,12.8813,19.3449,7.95537,6.63728,7.47864,12.6819,33.4921,10.8517,25.5863,33.9063,8.98892,13.9635,26.7758,34.2121,12.8614,13.7413,19.5138,16.202,2.64043,13.6575,12.5584,12.9477,4.37135,1.17319,16.5857,8.98922,8.39599,5.63625,14.4611,15.2333,25.5995,15.674,16.269,16.6664,10.4809,27.4385,5.52735,32.8899,7.81959,35.6621,8.50974,31.0639,10.1402,9.37007,25.523,12.3442,8.28901,18.8198,18.1381,7.0361,10.9358,12.9089,22.1359,10.5167,7.20499,35.6324,17.1486,10.9512,6.17998,8.61772,23.489,10.9828,5.55861,18.5588,5.02491,14.1281,8.45779,7.3359,9.63631,16.5579,21.4284,22.1459,6.31663,20.848,26.2635,21.235,31.0969,21.2366,12.1849,30.0792,8.78363,5.91588,13.9626,11.7076,7.46966,23.4765,25.6525,17.9278,14.3944,10.1119,10.7911,5.56877,19.6844,21.5863,15.1367,45.5516,32.5392,25.044,9.80438,16.5511,42.8297,25.2618,13.7782,19.4183,7.38339,19.7032,37.8191,26.2055,18.2574,25.6214,16.105,7.12074,37.7994,11.8501,28.986,23.6518,1955.23449
July,68.093,25.7954,75.6535,22.9002,17.6693,25.2715,33.0677,100.309,110.821,73.1194,8.07602,41.5568,43.3387,110.802,35.4379,53.6625,21.9135,10.716,69.2101,19.9772,72.2176,29.9843,36.6953,47.4231,55.3342,34.713,94.2809,24.1495,145.618,93.8898,55.9034,113.954,75.3341,26.888,43.4936,25.6255,97.1825,48.888,19.9689,18.5754,45.81,101.84,46.4736,98.6377,106.458,26.171,22.0234,79.8786,51.3335,62.3368,23.8066,54.0252,47.3657,30.5518,27.3777,125.533,25.4085,56.858,109.908,61.681,89.9002,42.9007,20.415,80.9339,64.3407,45.8264,62.1139,28.9279,54.8043,46.0735,44.4069,35.143,83.0911,41.7686,63.3042,68.3295,74.8961,148.121,25.5854,62.1531,84.8033,29.9389,58.5618,52.6636,57.1505,47.7411,19.9808,100.4,111.255,27.8177,20.3078,54.8721,73.2203,116.973,97.9396,37.5503,61.0494,49.0101,38.2667,57.1515,70.3518,11.4863,106.583,23.6964,56.0509,56.8962,60.6515,48.5093,50.6734,105.22,37.5047,26.7597,45.7747,30.8147,72.6114,56.4818,6570.74262
August,16.5836,34.1203,34.1329,26.1663,8.42186,44.5472,54.822,90.0436,27.676,83.1,14.2183,50.7721,52.2582,25.4436,11.9239,154.055,105.647,23.632,74.5446,16.8843,89.2192,32.035,83.1012,21.8061,34.2365,74.1229,29.1965,37.0993,89.806,13.0779,42.1351,61.3524,102.081,83.3958,42.2543,19.6528,2.46915,38.309,16.0148,35.6084,21.0318,37.0677,29.4262,136.962,38.081,77.1827,46.1195,44.5498,57.3926,49.0711,46.0951,25.8742,77.7919,21.8322,80.6127,74.6565,43.4475,22.5712,45.5721,35.7771,46.2971,46.8747,27.7805,56.2686,31.0305,34.1948,71.5948,35.353,19.5314,77.46,40.7991,29.401,67.0669,23.2534,96.6574,97.656,35.1519,59.1608,66.4542,34.2454,38.2932,58.7005,105.788,80.2843,54.7685,94.5262,23.3548,57.4279,48.2808,100.131,33.49,69.1804,11.8972,83.9455,58.5468,54.5763,84.8412,28.9697,45.1223,32.6807,28.1631,34.2267,67.9582,55.6869,27.6218,92.8018,42.5053,90.4538,30.7856,113.186,80.6547,45.5465,72.268,30.2337,69.5808,60.6061,6010.39681
September,13.3391,17.5,24.1921,17.5644,36.4692,28.7101,2.99025,27.5185,35.4963,4.58992,9.62532,8.37116,29.0657,34.385,16.1701,26.0831,79.48,12.0347,16.1689,11.888,16.9813,43.9223,7.74047,46.2479,16.3121,42.7293,13.8769,29.5816,3.18438,19.8918,9.9938,4.39812,23.0784,9.9666,14.5429,15.4076,16.3548,2.96804,5.5909,9.7331,20.3119,22.0441,15.7967,15.0417,24.0178,4.63755,21.2747,11.1338,17.4278,29.9903,4.32737,6.00208,21.0016,44.9608,36.0226,11.0303,7.64757,31.8638,32.8209,16.0049,36.5446,39.7279,12.5937,16.0849,5.04816,22.35,17.6735,1.11097,12.1516,40.3373,20.2732,16.0654,19.8524,11.2464,37.3772,45.7423,28.696,14.4293,16.4189,19.0816,5.45379,5.01978,15.65,28.9083,4.22109,9.89575,3.8747,23.7982,12.1511,39.8935,30.1148,28.7059,18.1405,42.8355,21.9999,13.2122,11.9138,23.637,19.1532,18.3118,12.5674,23.8329,25.9643,15.1627,28.3787,29.8866,28.5902,18.479,15.1353,30.6715,31.7056,51.5706,16.0794,35.8764,26.1938,13.7694,2411.06237
October,3.10757,7.08495,1.82323,8.62059,2.22197,2.93003,2.88652,2.64982,3.77207,1.80884,5.47875,2.50569,3.23762,24.642,13.3508,12.044,11.5993,1.94249,1.24296,1.16082,9.28153,4.74138,9.61971,0.64327,11.9817,0.49156,1.65613,4.76729,6.89097,4.73209,16.0189,4.01409,3.98831,2.8108,8.22242,5.47314,8.56207,3.88538,8.54513,3.70525,2.53545,5.03011,3.90013,5.54882,5.61034,8.7803,4.27195,2.6953,2.99065,2.67137,6.10609,1.33603,10.7566,8.41373,7.40846,20.6457,15.6489,3.9729,8.68935,1.14299,10.0553,4.00006,3.932,2.10298,8.17512,17.0328,11.9856,8.97746,13.014,8.65626,1.70755,5.55106,3.33128,1.70523,4.14299,8.08338,8.94343,1.69246,4.78184,12.7277,9.53868,20.175,5.69994,1.63675,8.75089,4.42194,23.0345,3.53334,3.13078,5.64027,2.17714,12.1746,2.95508,10.3939,14.0496,11.4699,28.5444,9.91221,6.80608,3.36167,2.88224,4.25136,4.65043,13.4192,5.59639,9.6685,0.73853,6.49189,3.9578,4.11534,8.60502,6.17664,8.1558,9.75995,14.1419,1.07552,793.98799
November,0.21419,14.5744,1.2238,12.2084,0.23152,0.2753,0.88287,0.30752,2.09046,0.18159,9.19291,2.01322,4.07875,9.71607,0.68016,0.12818,0.10584,6.6346,0.64859,4.45309,2.22099,0.19436,0.5534,4.09587,9.60262,0.52748,1.01834,19.6052,8.4176,0.9404,3.87184,0.43016,2.72915,2.35865,8.05263,12.3342,2.07194,2.05724,1.50351,4.16205,3.01371,4.25811,2.2677,8.30947,4.99154,5.09657,5.62064,3.45944,2.05416,3.13984,9.85755,1.9862,4.32299,4.24445,1.07598,1.66882,24.461,7.80382,26.1542,4.96186,9.28469,10.1943,15.3882,1.39828,10.6557,0.5548,6.90142,6.29921,3.01573,0.47082,2.06759,6.4597,0.56221,0.89974,2.73393,1.36519,9.8938,17.3604,11.4957,10.2885,7.23586,24.0141,0.92442,6.73564,1.67728,25.3839,0.29129,0.71824,8.06886,3.57717,4.33636,7.92377,9.43055,3.08639,5.24833,3.83853,8.86339,0.16185,13.6544,4.03651,11.1675,9.99053,8.94368,4.30319,8.06399,18.3344,2.19563,4.59947,6.9783,1.60891,6.73557,3.56023,13.5567,10.1953,9.09601,2.8848,674.0481
December,3.27559,4.73243,10.0793,6.44073,27.6909,11.1771,2.76253,19.4151,39.1434,7.09619,11.3108,22.5349,25.6171,10.0941,6.75773,0.91797,18.1581,36.2052,38.828,3.59087,33.1487,15.6486,9.77863,41.6146,0.91499,18.7861,42.566,20.3335,22.8815,3.91869,4.63594,12.8274,14.1313,16.5685,2.97032,16.3721,17.0892,16.8484,8.10614,7.2564,15.7911,26.4945,3.62004,29.7959,12.0397,11.3736,15.2268,24.9507,6.46054,0.80213,5.62371,16.6618,13.8055,3.28068,16.6018,13.0949,32.3778,54.5402,17.4243,25.758,11.5446,22.3324,12.4367,13.8485,10.4383,2.9438,49.9924,13.9851,1.45074,4.07001,6.26838,23.3174,13.3079,15.6551,7.69655,3.35015,10.9998,3.57629,22.4665,15.6931,3.2328,27.1344,8.60111,12.675,33.702,18.2096,3.28792,17.8356,23.0545,39.7687,9.12149,13.6849,0.80544,25.3666,21.7521,5.86822,13.9214,0.94575,0.24637,6.28593,7.07034,13.1605,7.45678,24.4978,3.99261,43.9717,8.77559,28.3541,16.272,3.23522,2.56967,21.8186,2.00393,0.41147,6.00726,7.82298,1726.24285
Grand Total,248.33305,175.62523,276.185,261.93157,259.21709,280.23196,258.39322,398.76204,373.4086,312.93068,230.62612,263.1012,287.65297,394.06657,222.41282,378.89158,347.38694,203.34088,318.43188,204.90158,290.5575,241.64671,293.25306,343.27953,223.459,333.14106,277.67117,234.88366,368.52448,283.86618,305.54218,316.20024,374.63086,272.85205,329.53527,280.05734,315.25682,270.48692,269.83553,255.7676,213.70079,414.70332,259.74762,494.37035,338.12608,211.85137,225.73981,321.90305,248.2551,309.06334,246.25612,215.53367,304.10959,289.50646,296.79479,431.99396,357.27857,266.60731,404.21003,275.62517,360.20939,267.60186,226.15874,302.03596,293.41509,270.57911,373.87723,216.07184,224.59268,309.2804,204.34619,275.08196,317.57482,213.32067,366.01347,403.83703,295.26221,373.56034,328.42734,298.7594,331.54126,366.22366,379.66177,281.9566,249.52521,349.40769,239.22959,323.23306,314.5901,386.91314,288.60649,378.58054,248.80067,423.27579,352.64004,342.65075,368.12875,300.91401,253.62075,191.79696,233.85818,209.46856,386.08709,257.73237,323.69088,365.64875,318.47995,337.23587,282.6052,384.9588,321.48036,274.02281,349.84245,275.48682,397.69007,286.96386,34998.20922
